countryA,countryB,troopsA,troopsB,modA,modB,winner,gdp_loss_A,gdp_loss_B
GER,FRA,84674,85226,77.46,99.11,FRA,9515378215343.66,8701858015586.68
GBR,USA,46241,56221,80.59,60.25,USA,3584810750836.29,2880259436517.68
RUS,CHN,142270,51620,88.52,57.6,RUS,16522776325630.46,2652686521866.53
IND,RUS,102983,95367,89.58,67.67,RUS,9921970551447.66,9000006266812.11
IND,CAN,112299,126961,75.94,73.19,IND,11286597739908.97,6590827361110.18
FRA,GBR,153185,101609,53.79,90.4,GBR,10172248781355.12,7157095241801.18
CAN,CHN,112839,151336,77.89,88.73,CHN,6853010507487.86,13436907376452.9
USA,FRA,48639,26049,73.88,96.13,USA,5358532362155.86,2029814269098.3
IND,FRA,74036,90379,60.77,92.91,IND,4456470823058.03,11693474508639.88
CAN,USA,95223,39236,50.51,71.94,USA,5218319477604.84,3197993713042.13
IND,RUS,77983,162195,65.8,50.95,IND,5338626896635.36,8294945044373.66
CAN,GBR,136164,167079,62.97,61.83,GBR,11877726005580.72,11405483959129.96
USA,CAN,84944,20142,74.15,80.5,USA,4911915526389.26,842896872825.48
JPN,USA,132427,38498,88.08,75.07,JPN,6551915222758.54,3588952729947.05
IND,JPN,27674,174298,71.95,62.01,JPN,1848018076260.25,9029222742782.91
GER,USA,22413,50348,97.58,56.58,USA,3101898930702.2,3156903413266.1
RUS,CAN,64986,37524,61.07,60.8,RUS,3727579926216.09,3039344675806.18
CAN,FRA,189009,190561,61.05,62.99,FRA,8971928979223.07,10148318147697.69
RUS,USA,33071,156370,80.22,93.36,USA,2967411799262.33,7839347933219.28
BRA,JPN,84229,153207,94.81,85.51,BRA,9883074869234.37,6563310267007.68
BRA,GBR,184903,130138,83.59,77.62,BRA,14880920239470.25,13735483271800.57
USA,BRA,132116,82916,83.68,51.05,USA,9729571702178.05,4429545291655.97
CAN,GER,92306,108002,90.31,91.06,GER,7206985810567.33,11314276746296.04
CHN,BRA,182443,46788,83.43,77.62,CHN,14024169637138.86,3983365769034.03
BRA,FRA,138345,165992,87.97,81.37,FRA,16340107926974.97,9035792531103.53
USA,JPN,77542,72015,93.31,53.28,USA,7108984876970.62,2065309256093.22
BRA,CAN,15213,146715,50.4,90.74,CAN,624340131859.27,9894455264970.04
BRA,CHN,73815,60094,94.28,91.6,CHN,4748477258151.02,8206903442594.13
CHN,BRA,192371,157801,60.76,94.17,BRA,9148063635854.85,13638064366136.13
IND,CHN,177708,63046,95.61,76.4,IND,16356607949509.57,6864593577113.43
FRA,GER,73948,136199,63.31,69.7,GER,4905431263869.12,7217416073541.46
JPN,CHN,85066,182356,72.76,53.65,CHN,6941534047436.35,11891165995603.3
BRA,FRA,57128,94058,96.69,59.69,BRA,3156268163592.7,2953586178410.98
BRA,CHN,59504,96309,55.49,61.28,CHN,3675377304331.76,3028224238866.47
GER,USA,80500,21804,87.26,53.13,GER,5985051497427.04,1119019205341.21
JPN,GER,62340,198939,69.62,57.72,JPN,3285447505325.51,13194409152408.75
CHN,IND,139222,148888,51.21,94.34,CHN,5924515528822.84,20538812934639.13
RUS,GBR,44070,168545,96.96,77.27,RUS,5488366702827.34,6898571791486.56
CAN,FRA,83285,153004,55.89,88.22,FRA,6066700135548.99,20084359066276.48
BRA,GBR,133405,190482,88.71,63.75,GBR,7144852720481.44,11801149655754.15
FRA,IND,155948,93030,69.21,56.73,FRA,10736218679992.35,6683446257457.9
CAN,JPN,192748,164781,90.53,68.66,JPN,17964038748445.7,12969431914918.24
JPN,FRA,28262,105725,87.51,89.65,FRA,1311395346066.57,7087636591447.58
CAN,FRA,112409,106441,81.66,64.87,FRA,11171938391412.07,5748206317480.61
IND,CHN,165126,16487,96.96,60.23,IND,13878068152237.04,1083429897567.13
BRA,FRA,164123,158276,54.95,51.12,BRA,8278440051705.56,4825255275771.29
CAN,GER,169457,15988,89.93,81.2,CAN,16914299550495.81,1654885278532.41
RUS,JPN,45587,37364,83.54,71.79,JPN,3690020162521.42,3486007404836.45
RUS,JPN,138595,179475,65.74,62.94,JPN,11369679807595.49,14917585458284.87
BRA,CAN,65131,31048,77.3,75.99,BRA,5517139363483.43,3181671516057.78
GBR,RUS,103019,148165,82.23,85.03,RUS,6150528457338.28,14980945102441.04
RUS,BRA,168725,93483,86.81,62.37,RUS,20074384872636.74,7253232533707.83
CAN,GER,185862,39196,59.35,80.44,CAN,7896242743350.32,3432494241353.69
USA,CHN,52018,32727,55.11,63.01,CHN,3478575915444.96,1498434620601.18
RUS,JPN,127177,183239,55.1,99.33,RUS,9055555017154.53,10612379152597.06
JPN,IND,195912,165956,64.69,86.62,JPN,15060549817638.62,9754244863790.39
GBR,FRA,95184,44607,57.71,80.13,FRA,5063417621452.75,2477501674779.31
CAN,FRA,107292,54312,76.78,58.62,CAN,11351718215692.05,4004596847116.19
CHN,IND,54561,50769,71.85,79.32,IND,3244845221627.55,5830056480420.27
GER,GBR,126981,140205,94.65,90.02,GER,14267676491166.98,16590375569397.26
CHN,FRA,151142,150647,85.87,86.86,FRA,17880113432110.23,19524742250132.14
IND,USA,180097,176146,60.29,88.9,IND,7116740022456.91,8513501021443.42
GER,RUS,43779,151736,52.29,65.89,RUS,2638432876465.33,5319737630409.25
IND,RUS,157688,90650,85.46,66.41,IND,18878862216786.37,7125385711113.83
GER,USA,105909,97060,92.29,76.94,GER,5894810323680.26,3925341837079.76
GER,BRA,127715,86695,85.05,63.93,GER,7014249364643.65,7708330408707.82
USA,CHN,110477,154371,82.19,55.65,USA,7974625603635.77,8351790051826.87
FRA,BRA,111688,137325,62.47,73.06,BRA,10425320674382.46,14290267554434.73
JPN,IND,127016,169104,74.73,50.1,JPN,6871546289263.06,6352360658137.43
CHN,CAN,141869,51397,86.25,88.04,CAN,10091218807781.62,5169265563948.94
RUS,BRA,180961,196991,59.67,87.48,RUS,14415993439517.34,20664056191340.33
CAN,GBR,154666,118065,73.83,77.6,GBR,7202177205521.08,7212378433697.36
GBR,BRA,57754,199519,55.85,87.38,BRA,4826226942247.63,15119900728353.32
JPN,CAN,63639,75498,76.54,81.23,JPN,6034087919669.79,6447952418518.75
IND,GER,22669,138451,78.68,84.87,GER,2602468050128.73,10383435956081.71
USA,CHN,139239,118114,76.77,53.23,USA,6888149299901.08,6234228762983.42
IND,GER,94509,54572,73.47,94.06,GER,5085958071260.53,4907387284333.37
FRA,USA,162157,157847,79.37,82.2,USA,11207602350358.64,15128136851412.06
GBR,IND,38787,45389,99.84,80.53,GBR,2133787685875.92,2124895211428.45
USA,JPN,34051,147248,81.13,69.36,JPN,1548882296604.08,14877115994411.4
IND,FRA,196638,58263,87.63,51.41,FRA,24189346003324.9,1805594894486.96
FRA,GBR,60615,150184,59.61,95.07,GBR,1960960557366.58,11966865438315.94
CAN,BRA,193334,168105,76.5,99.28,CAN,18487250503042.52,8490254417987.29
CAN,BRA,178711,29984,50.38,90.39,CAN,10961964861168.42,3566720001740.99
IND,USA,146361,172814,51.57,95.75,USA,4323753251029.74,10135415685509.9
JPN,GBR,129123,80044,66.12,56.05,GBR,5871124843401.26,3492547014764.51
GBR,FRA,165816,180282,73.33,56.43,GBR,11609901702124.32,9683218294334.95
BRA,JPN,138814,66806,78.78,93.98,BRA,12485188790368.76,8438080947112.99
JPN,USA,27945,34269,94.4,52.88,USA,3682210910284.36,2296231292897.3
CAN,GER,124135,75796,88.59,54.66,CAN,11291915117446.08,2692661608275.05
GBR,BRA,198036,147905,65.0,90.84,GBR,18489073783709.56,12719453975065.11
FRA,CAN,165299,19527,87.17,77.85,FRA,9946450125265.72,1265883827769.99
USA,RUS,92494,147016,77.47,69.59,RUS,8045245355391.44,14818508641576.66
GER,RUS,151006,163590,88.96,77.67,GER,18063028909933.16,17226660419708.74
IND,GBR,186602,98795,70.55,93.94,IND,9654390531072.52,6036291520801.77
CHN,USA,63168,131516,54.59,87.86,USA,4443723653373.46,10741498191829.25
GBR,BRA,86086,107095,80.92,84.58,GBR,6271826103351.34,8557076150944.05
RUS,IND,131915,43102,77.85,98.84,RUS,15400886071130.57,6224065408847.18
FRA,RUS,79560,148741,97.68,76.07,RUS,4597203572741.33,14654583488307.27
BRA,RUS,41772,111083,58.11,50.32,BRA,2556528888370.95,7316610043776.01
GER,JPN,149794,35379,82.81,71.45,GER,15914687649020.93,2194485630769.95
RUS,CAN,191214,164784,73.7,54.83,RUS,16576344099400.97,10801465291823.39
BRA,CHN,77656,127125,68.95,55.82,CHN,5383982267063.19,5820792672782.83
CHN,USA,105625,29191,89.73,62.75,USA,9601801081911.82,2426008223651.18
CAN,JPN,96884,154331,90.53,69.07,JPN,7941660301641.56,15563620253807.68
JPN,FRA,127129,179030,85.73,74.08,FRA,9180041055638.7,14723086428246.26
IND,CAN,146949,166588,54.18,58.49,CAN,8707453511404.88,10023854504066.22
USA,GER,28904,45931,67.26,65.59,GER,2426768916013.97,4134543118042.98
BRA,CHN,96328,84630,52.34,63.83,CHN,3928745091720.46,7589487050354.72
GER,USA,90195,21624,67.18,68.26,GER,8766027662266.74,871190649614.31
GBR,JPN,170756,164944,82.4,55.4,JPN,12167642381009.07,10940823432833.59
CAN,RUS,76500,134148,75.94,69.87,CAN,5425508967393.36,10576553826850.45
GBR,USA,44902,42791,85.15,77.72,USA,3483528395402.63,2361750477247.41
GER,JPN,63606,14652,77.57,54.85,GER,3016420103540.25,502152534986.52
GBR,USA,133574,45516,77.79,76.04,GBR,6399817087408.3,2717747240523.67
BRA,JPN,45571,127138,75.55,87.8,JPN,4459371497428.02,7467315941368.85
FRA,USA,79447,18095,68.22,50.41,FRA,4776400331264.0,677386838278.44
GBR,CAN,86752,18095,72.33,52.38,CAN,4492549960812.64,1343542106344.67
JPN,CAN,97157,86216,55.62,73.32,JPN,6526480429140.32,8952869662687.27
CHN,CAN,185010,116387,91.73,93.64,CHN,24771975775430.44,8212344827821.03
USA,IND,67203,196196,94.46,99.89,IND,9120871204813.22,13760042716382.4
BRA,IND,67805,169314,88.31,54.67,BRA,7325883392690.92,8835583648449.78
RUS,FRA,82649,36333,79.18,50.92,FRA,4526039891089.66,2153313277158.51
GER,FRA,140294,154241,78.46,61.44,GER,7199809238656.34,6045220486926.24
CAN,JPN,50910,100075,73.52,73.37,CAN,5131277969823.76,9673334433422.32
BRA,IND,163833,140399,61.57,78.59,BRA,14755058516050.05,6328809096585.14
FRA,GER,34992,115373,69.19,98.67,GER,2717249377824.99,6982655940424.76
CAN,USA,97521,69222,99.5,94.42,CAN,13596205676228.68,7427674445448.24
JPN,CHN,65448,159988,57.29,78.1,CHN,4930213745474.95,8799756302905.37
GER,JPN,79903,136394,77.13,68.09,GER,4030844931693.44,6770383303199.57
CAN,IND,186519,48105,93.33,66.06,CAN,12584824114923.06,4374155271005.11
GBR,BRA,20786,79309,72.65,78.63,BRA,857375784554.91,5389146260748.72
BRA,IND,121316,189266,80.28,86.07,IND,9486642945950.53,23151913905397.84
CHN,CAN,52706,69422,91.39,74.08,CAN,3968779950362.28,3130545977428.39
GER,CAN,119997,196689,77.38,65.22,CAN,8598463297958.48,18365360750948.07
IND,GBR,86587,31045,86.57,80.66,IND,3813014172376.05,3542501153058.85
JPN,BRA,25611,27061,67.36,77.9,BRA,2106950806596.85,2191774031181.92
USA,GER,14490,45742,86.65,71.37,GER,879620518691.36,4107860415956.9
GER,USA,60004,34860,52.05,87.42,USA,2711830738187.54,2855892840448.6
FRA,BRA,106849,195872,57.64,64.11,BRA,5558009377077.89,15894094253039.62
BRA,USA,139213,49212,81.86,74.25,BRA,6453286174892.64,2714952214164.66
GBR,RUS,147449,28224,72.45,97.02,RUS,9245727353432.62,3842101831455.4
USA,JPN,19903,77414,91.42,86.14,JPN,2546995469425.62,8592214469936.47
USA,CAN,155639,114593,67.1,69.4,USA,14549472162469.28,9802149855288.26
JPN,RUS,189628,38538,88.36,77.31,JPN,8789823374786.22,3887588208348.08
CAN,USA,36606,99139,56.96,70.27,USA,1104568308975.94,5885962058039.17
FRA,USA,133116,156109,96.51,55.63,FRA,14053815608796.06,5991207284411.82
CAN,GER,143332,136039,70.92,66.75,CAN,7164798575659.18,7761869511553.26
GBR,FRA,171339,21690,61.55,93.02,GBR,14747406278764.53,1086974673388.03
USA,CHN,199441,20323,89.46,73.06,USA,17535606954785.42,1143638420411.77
FRA,GER,191132,144386,97.39,79.23,GER,15372276323715.14,12667499362072.55
FRA,GER,26833,187257,95.9,59.07,GER,3739854614566.37,14895055132450.55
RUS,GBR,125256,44146,61.9,67.81,RUS,6341367305177.2,4281834783841.85
BRA,GER,13498,155428,83.6,96.46,GER,926254102408.72,18323595556977.29
USA,BRA,135740,86805,77.34,65.71,USA,6646586259287.12,7939337250495.94
USA,CAN,187801,146412,86.26,62.53,USA,11699627039651.68,7244841049150.6
FRA,USA,20518,54852,74.35,52.79,USA,1922808476248.81,3410540771639.02
CAN,GBR,32254,72550,73.49,54.86,GBR,2985959138585.5,5877834386940.23
USA,IND,91438,183747,94.14,79.24,IND,7631441876661.25,16173134058841.13
FRA,BRA,166617,108756,93.56,83.0,FRA,13241041753602.04,8375909824051.84
USA,GBR,144417,10392,89.38,82.08,USA,11854605585486.14,650542264128.97
FRA,IND,197438,81007,85.24,76.99,IND,13478526657568.14,5081583726653.32
RUS,USA,187793,60421,83.92,74.55,RUS,17458035099855.57,3164138071188.64
BRA,USA,69829,149209,52.81,53.61,USA,4928789951053.03,9621449797260.85
FRA,CHN,103767,23997,87.48,92.03,FRA,4623689237328.38,2703264226748.01
USA,RUS,117399,94970,81.91,75.65,RUS,13808057236406.84,9193362536305.36
GBR,USA,19642,131968,65.12,56.6,USA,790423073896.45,7225667753052.2
BRA,JPN,93375,40278,91.01,56.79,BRA,11894141094330.1,1460012275932.93
RUS,GER,99217,151469,91.62,75.65,GER,6668399008083.1,10563703889995.94
FRA,GER,139412,172602,96.61,62.23,GER,19085343518605.95,13410562693894.64
GBR,CAN,194454,189436,70.92,96.1,GBR,17752642783104.74,24681466781782.86
FRA,GBR,174371,14794,77.56,74.95,FRA,10402746333544.43,644364349782.84
CAN,IND,176107,99330,95.3,98.92,CAN,8865846993310.91,7309414518561.9
USA,GER,125020,139057,65.84,86.71,USA,10008001266132.45,17627396399448.42
GER,JPN,129937,81899,89.83,90.53,GER,15428299058684.68,6910290288645.13
JPN,USA,164655,149151,99.6,69.44,JPN,19347379648293.39,5910731512087.35
CHN,BRA,32105,129718,82.6,56.7,BRA,2337976017840.33,5175869259513.04
CAN,BRA,23736,87568,99.19,84.48,BRA,1477044158854.68,9821628515223.17
GBR,CAN,52281,77041,75.79,70.35,GBR,3356353892289.71,6826552741632.3
CAN,BRA,89351,19448,57.65,97.44,BRA,3959224785138.64,1359683859039.45
IND,BRA,99932,88776,58.78,59.68,IND,7184407391371.62,3187282450878.39
FRA,RUS,165384,181249,86.57,81.33,FRA,9440124227524.91,8540334994385.18
FRA,CHN,87780,129028,50.05,93.3,CHN,5796735506497.56,12034633487580.45
CHN,IND,183740,106275,83.09,70.14,CHN,16976876261059.17,8912059970967.59
CHN,GBR,65652,174049,57.56,97.68,CHN,3713288872779.53,14004902435128.16
IND,GBR,141030,161249,99.22,53.83,GBR,12037034851291.55,5088358146430.74
USA,GER,21718,63673,58.16,79.35,USA,1272504975937.94,5011810701359.86
JPN,GER,106219,29431,77.62,88.87,JPN,8576088797897.04,1880466820230.71
GER,IND,131727,77655,83.47,60.09,GER,8103557490193.78,3177400887170.97
GER,FRA,185069,128433,90.97,52.89,GER,25065590341264.38,8658959682402.85
RUS,CAN,172500,10177,72.96,53.99,RUS,17740777658623.76,606875823460.03
RUS,GER,199894,122490,96.69,65.96,RUS,17217109984364.58,6585681664226.5
USA,IND,167562,20226,74.01,61.16,USA,9351113397605.42,1188193696238.63
RUS,USA,191281,128254,62.6,61.19,USA,9664177841218.84,5681667297699.27
RUS,FRA,57351,22231,79.65,72.93,RUS,6761566586672.58,1721192072604.59
IND,RUS,51001,190498,82.9,54.25,IND,3835066326717.81,12989643564922.3
IND,JPN,186928,89670,75.37,99.78,IND,19892232182398.56,8306238043274.23
RUS,USA,135050,193219,86.66,84.79,RUS,6542428778839.96,14478257971544.67
CAN,CHN,26410,24082,71.03,51.51,CAN,2395281399381.77,932621297965.8
BRA,RUS,62685,157247,50.22,84.6,RUS,3972973901852.7,10954095228195.38
BRA,RUS,176458,155205,63.23,89.59,BRA,12841443074816.24,11959130159775.64
USA,JPN,131317,124672,97.3,59.54,USA,7935731399632.07,6033202692859.16
GER,GBR,99547,126315,88.16,92.01,GBR,13001025608781.72,6860988359086.17
CHN,JPN,166358,163499,59.48,80.59,JPN,7052542793244.0,8535688997715.82
USA,GER,152463,132511,53.33,91.04,GER,9836478317561.52,18050900717835.84
RUS,CHN,36999,198904,67.54,85.83,CHN,3127322281954.01,14734584427773.85
IND,GBR,143090,24837,91.82,85.23,IND,16552590673090.64,2763333864701.38
FRA,CAN,22952,151618,55.3,57.91,CAN,1682994697192.01,10688452278392.86
CAN,IND,160354,151820,77.17,65.79,CAN,18426642263779.51,10629068507468.63
GBR,FRA,97995,77089,63.75,76.16,GBR,3723258909331.72,5576613146971.36
IND,FRA,110351,166313,86.31,55.63,IND,9259808416476.7,10780594516037.73
BRA,JPN,195426,12469,50.02,73.92,BRA,14417022435172.46,999391362450.66
IND,GER,27942,59067,63.86,72.27,GER,2466110070980.48,5266994187463.08
CAN,GER,11722,142546,83.96,61.6,GER,1467081457989.89,13116370526932.52
CHN,GER,177892,58554,77.34,59.99,GER,14891839225946.54,2862266766432.85
RUS,FRA,175618,172181,88.94,62.37,RUS,18319955375860.16,8955544585123.55
FRA,GBR,139385,32861,57.88,80.26,GBR,6162467047349.88,3136114129999.33
BRA,RUS,76219,43105,76.55,70.75,RUS,5591349821394.35,4100244139881.71
BRA,GER,117775,119655,59.79,70.7,BRA,3668307549543.87,5836522804630.62
JPN,GBR,159466,198684,81.96,59.09,JPN,15941743407344.02,15903435324261.06
GER,BRA,199631,139701,56.57,89.37,GER,16101794411448.96,17434239712104.26
CHN,RUS,187777,109597,57.43,85.02,RUS,6601977353946.83,8338170303770.91
BRA,CAN,167541,81500,66.41,71.45,CAN,10618830365184.32,4464011846956.91
GER,JPN,84041,176668,70.1,57.11,JPN,6616445063781.57,9086419473602.93
BRA,GBR,115747,129645,74.93,85.74,BRA,9819029940287.14,7631925528074.3
RUS,CHN,71338,82100,79.04,94.94,CHN,4547405639427.96,4358715953421.47
GER,FRA,15492,11336,73.44,58.91,GER,591381454115.68,866356733482.48
CAN,BRA,157899,53316,52.28,80.13,BRA,11456782935818.34,4570680863387.11
JPN,GER,126359,188989,67.17,71.22,GER,5022953715462.66,13379636337689.79
RUS,JPN,168564,44435,53.07,54.38,RUS,6062210725860.59,1725341826783.77
CAN,IND,153941,126513,55.9,86.29,IND,12588669282386.38,11489257088029.41
FRA,RUS,180854,104142,54.64,53.56,FRA,9885764357902.54,5028992092095.52
CHN,BRA,162935,76748,57.9,85.11,CHN,12963646598324.33,6572565849099.97
CHN,RUS,185127,12768,90.65,64.06,RUS,23442181034169.04,483201064095.06
GBR,FRA,39136,105273,81.38,78.28,FRA,4743629121575.76,11725479171685.38
GBR,BRA,129829,37634,75.34,58.02,GBR,5288704644515.45,2760486093583.23
GER,USA,24837,64928,86.61,68.54,USA,1189616220541.63,5523901306738.01
CHN,GBR,85592,190668,98.06,55.2,GBR,5797405381262.79,11386504422092.88
GER,CHN,141787,194605,70.88,73.37,GER,11622260038769.12,10388903156627.07
GBR,GER,158347,46444,68.37,60.66,GBR,8249255393382.35,1700610463443.66
FRA,USA,30191,136486,98.89,59.4,FRA,2972486283906.76,6983195401438.05
BRA,GER,70126,28211,88.57,55.36,GER,7989329094828.28,1425520599120.31
CAN,RUS,192864,163741,88.86,88.27,CAN,11752440818739.35,18226536468260.76
IND,USA,18894,64711,80.0,81.98,USA,1187837390829.8,3438169749100.91
GER,JPN,94253,112992,75.35,57.85,GER,8717891111767.03,8606928811590.74
FRA,BRA,94114,80047,77.53,73.62,BRA,3704390588977.56,5556628157890.43
CAN,CHN,33321,93992,82.6,83.04,CAN,3460884700852.51,10146812908783.08
CHN,BRA,118505,98690,68.84,93.9,BRA,9596215318238.5,9218399942850.25
BRA,RUS,34959,104301,89.11,52.98,RUS,1961388593457.67,3047644345741.45
CAN,JPN,151587,196552,95.46,68.12,JPN,10764114060528.78,14835670735616.14
JPN,BRA,75196,121770,78.56,80.8,BRA,3044860455074.56,9122463661962.64
GBR,FRA,162515,174525,69.07,50.78,GBR,12139432016728.94,8501854818499.54
CAN,GER,194622,129646,84.78,62.18,CAN,14801998913971.37,10338824890476.7
IND,RUS,178280,43452,59.11,87.25,RUS,9730967714539.77,2739258985742.47
FRA,USA,142855,188841,98.43,67.79,USA,8481396916178.19,6728793130818.45
BRA,USA,88649,138013,82.9,54.22,BRA,6263574628572.88,5883342370187.5
RUS,CHN,80921,18532,53.38,81.33,CHN,6129272590276.92,987384497328.32
CAN,BRA,148054,22891,76.49,62.5,CAN,6395232651088.81,1207287144465.34
USA,CHN,110887,73246,87.52,85.08,CHN,14313733688698.74,4412362207294.85
IND,FRA,25316,43501,63.89,95.01,IND,2180402048170.69,2467512031237.41
IND,CAN,123652,11496,52.55,76.39,IND,4567921402424.43,1165891765531.23
USA,CAN,130357,25154,74.46,79.96,USA,11699990571735.82,1426851687623.28
JPN,CHN,115364,86682,91.68,75.72,CHN,6250271876657.21,5669678421744.42
RUS,BRA,12936,68475,62.58,90.87,BRA,533994414201.46,3122892052030.38
GBR,USA,87400,146522,85.85,62.09,GBR,7413015950470.25,11568591889778.16
FRA,RUS,84843,178475,70.39,70.08,RUS,5377576981888.34,12047743615341.27
BRA,FRA,16709,56791,52.98,94.75,FRA,1164154956587.0,7343378397826.88
FRA,CAN,30707,37289,65.2,86.18,CAN,2881445539502.37,1776598681572.71
RUS,CHN,49384,196751,65.7,66.0,CHN,4680908448034.74,8620552003510.04
FRA,BRA,45187,164181,95.23,91.63,BRA,2784249735889.62,11398872332757.65
USA,GBR,76935,53439,99.09,61.94,USA,9042960360639.35,4594911040264.64
IND,CHN,52536,165487,60.49,81.71,CHN,3402766041469.68,11548147028011.53
FRA,RUS,126772,93339,71.53,97.82,FRA,7890768813254.91,6271838860752.55
GER,FRA,165260,20181,98.84,78.74,GER,24415782460386.76,2067981988334.77
CAN,JPN,24245,108252,70.36,89.97,JPN,1630975556244.06,7814468393773.22
RUS,JPN,121282,38395,67.46,86.77,RUS,9534168244634.59,2830614783321.59
JPN,CAN,122740,89036,55.49,93.29,CAN,6830698665242.65,9590046486685.3
GER,IND,42286,175281,87.66,98.44,IND,2234946458511.72,15249683343330.13
USA,GBR,175375,45158,72.35,51.12,USA,8134555471868.58,1192159881579.17
CHN,CAN,182121,76920,81.93,51.39,CHN,18654321169629.5,5886911793802.1
USA,JPN,90901,159612,75.49,79.72,USA,8932642155672.52,9399000994968.62
JPN,CHN,197272,121440,58.73,97.71,CHN,10007474968170.87,8832743534285.6
JPN,BRA,88986,145468,58.82,74.28,BRA,2967476745022.62,6850325359889.94
GER,USA,79726,142463,96.99,91.99,USA,11266222539093.02,8622654305177.68
CAN,JPN,126342,197646,94.48,88.4,JPN,11901336703406.76,17505436989374.34
RUS,CAN,183933,129488,80.53,74.91,RUS,9393282253072.54,13965905034677.13
GBR,JPN,184711,26652,50.06,75.66,GBR,6458686735939.18,2414098971924.6
IND,FRA,33937,95837,71.66,71.8,FRA,1326363803052.86,7965594523602.59
GER,GBR,133245,19716,76.52,62.61,GER,12335804284258.76,1063431476252.94
JPN,RUS,13960,25568,72.47,92.94,RUS,1218191131014.77,3120168626027.66
CHN,FRA,49602,149741,96.27,60.48,FRA,5264797183044.27,8814796048304.59
BRA,IND,151636,59390,52.04,95.35,BRA,8257021644510.54,5422057783835.06
JPN,USA,75533,89792,82.75,67.99,JPN,5509393637130.15,9123432095041.73
CAN,JPN,57510,164458,65.69,51.32,JPN,5480401679896.66,9360368109737.65
CAN,IND,15091,140489,77.97,58.42,IND,1530327770515.35,11228954920360.01
JPN,RUS,72335,34152,82.8,94.39,RUS,8430301524539.16,3302852928875.65
CAN,FRA,171591,155506,72.04,56.42,CAN,10033406321007.15,5806011006908.16
GER,USA,144782,170072,57.42,86.94,USA,12289263519730.24,21990381772454.4
JPN,GBR,73564,37973,75.95,59.14,JPN,3717529054268.48,2595347721397.0
JPN,GER,139257,121036,96.65,74.95,GER,7486807402325.33,5884383707384.91
RUS,CHN,125517,130473,76.79,60.26,CHN,7902404152267.99,9749705351454.82
IND,CAN,69977,47861,56.15,66.66,CAN,2755354912307.79,2996218600572.51
CHN,GER,114931,147510,91.21,56.24,GER,10666336895141.84,10970703995945.31
CAN,CHN,198686,153801,61.09,77.8,CAN,10319021702196.0,9298271426082.6
RUS,JPN,17988,167479,68.51,68.29,JPN,827841870121.4,16496326775709.74
GBR,JPN,176826,98094,71.44,68.27,GBR,16980765684702.18,5339340127016.09
GBR,USA,103650,101266,66.98,51.93,USA,6998330608514.91,7873578436401.6
FRA,USA,33074,52711,70.22,56.81,USA,1415658783364.53,3593709172433.02
GER,USA,31198,136478,89.77,85.38,GER,1611375885353.12,17143489513107.65
GER,IND,86045,102597,61.17,64.62,GER,4648352082829.79,8115463015862.47
USA,GBR,166252,110637,73.52,72.1,GBR,17209776956353.81,10004824539699.39
CHN,JPN,58068,112690,51.0,88.15,JPN,2985184513713.15,6172775400017.86
JPN,USA,120969,88191,75.38,72.24,JPN,5828302429190.18,3280982240183.04
CAN,RUS,26560,96501,55.58,61.28,RUS,1102270043120.86,3467766003594.82
CHN,USA,183746,196922,64.11,77.49,USA,6473030358041.95,14302552894254.68
FRA,CAN,75152,91852,66.24,90.06,CAN,6630359444250.54,7462201843789.01
USA,CAN,133516,155244,54.12,79.98,CAN,10448551421271.01,8491137090424.66
RUS,BRA,180010,130574,68.03,71.01,BRA,7075778324705.38,5038916747164.52
CHN,JPN,45391,156601,74.9,56.28,CHN,2288078953803.33,10506764012646.35
RUS,USA,38731,83590,71.55,62.44,USA,1859792196568.71,3642091601177.05
GBR,FRA,94698,115218,64.02,97.31,FRA,7903961120586.76,16576704500244.36
CAN,CHN,123880,50281,64.74,88.59,CAN,10741407996582.15,2687996115422.46
FRA,USA,128440,83805,81.68,54.38,FRA,9643980996314.61,3935415450292.44
JPN,RUS,166308,86626,85.92,50.28,RUS,20995479963695.29,4263399328788.16
CAN,GER,178205,68235,78.83,58.77,GER,10668584390194.86,2881331989776.18
IND,USA,14340,96676,98.81,97.19,IND,1452520329226.77,9427777535341.03
GER,CHN,80291,22876,97.24,79.0,GER,11682712467625.13,1128583239601.52
FRA,CHN,58731,66680,54.92,91.93,CHN,4280850802357.83,3075105189725.46
CHN,GBR,198500,156169,63.07,73.26,CHN,12358703953305.16,13708797126127.35
CAN,RUS,62822,143931,93.42,91.33,RUS,3571322810928.86,17543275848716.35
BRA,RUS,51866,34877,51.48,51.7,BRA,3749937847931.34,1937668144650.93
GER,GBR,124295,155700,79.61,71.34,GER,10311946793666.45,8092041934945.97
GER,RUS,106791,88117,97.72,68.88,RUS,8436033731073.01,5429526076074.51
BRA,GER,112262,149372,83.94,99.08,GER,8963153873226.39,16668470600360.66
USA,FRA,51813,12412,54.6,65.02,FRA,2293967570327.94,429807995979.27
USA,GBR,149787,110951,87.39,70.85,USA,13758336053474.21,4670852964627.64
BRA,RUS,196974,102837,68.82,87.94,RUS,10478369453215.54,13187179648998.95
IND,GBR,111354,144410,96.08,94.04,IND,10120626606309.46,16004103673036.67
GBR,CHN,24783,69484,64.32,93.92,CHN,1476402195561.1,7811481169059.52
BRA,USA,99012,15804,73.66,69.73,USA,8139919609109.14,663924087674.44
